SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
ACCT:D001A:,ACCT D001A,Mary Breen,,,18,,,10,,,5,,,1,,7,3,Spring,2019,1
ACCT:D001A:,ACCT D001A,Mary Breen,,,11,,,10,,,4,,,3,,9,4,Spring,2019,1
ACCT:D001A:,ACCT D001A,Mary Breen,,,1,,,5,,,6,,,5,,8,3,Spring,2019,1
ACCT:D001A:,ACCT D001A,Timothy Ratchford,,,16,,,9,,,9,,,1,,4,5,Spring,2019,1
ACCT:D001A:,ACCT D001A,Lydia Botsford,,,19,,,5,,,5,,,2,,5,8,Spring,2019,1
ACCT:D001A:,ACCT D001A,Lakshmamma Venkata,,,21,,,13,,,1,,,1,,4,3,Spring,2019,1
ACCT:D001A:,ACCT D001A,Laurienne Hammond,,,4,,,3,,,8,,,7,,5,12,Spring,2019,1
ACCT:D001A:,ACCT D001A,Laurienne Hammond,,,5,,,6,,,10,,,1,,9,3,Spring,2019,1
ACCT:D001A:,ACCT D001A,Letha Jeanpierre,,,6,,,5,,,8,,,1,,13,15,Spring,2019,1
ACCT:D001A:,ACCT D001A,Danny Salah,,,21,,,3,,,1,,,2,,1,2,Spring,2019,1
ACCT:D001B:,ACCT D001B,Walter Gough,,,15,,,6,,,11,,,3,,4,4,Spring,2019,1
ACCT:D001B:,ACCT D001B,Lydia Botsford,,,16,,,12,,,3,,,3,,3,5,Spring,2019,1
ACCT:D001B:,ACCT D001B,Kevin Mello,,,6,,,2,,,8,,,4,,3,11,Spring,2019,1
ACCT:D001B:,ACCT D001B,Kevin Mello,,,6,,,3,,,5,,,2,,1,7,Spring,2019,1
ACCT:D001B:,ACCT D001B,Jeffrey West,,,8,,,16,,,7,,,2,,3,3,Spring,2019,1
ACCT:D001B:,ACCT D001B,Michael Riordan,,,36,,,13,,,3,,,0,,1,1,Spring,2019,1
ACCT:D001B:,ACCT D001B,Christopher Kwak,,,16,,,6,,,2,,,1,,2,3,Spring,2019,1
ACCT:D001B:,ACCT D001B,Christopher Kwak,,,2,,,6,,,8,,,3,,6,3,Spring,2019,1
ACCT:D001C:,ACCT D001C,Lawrence Osborne,,,19,,,15,,,4,,,1,,0,0,Spring,2019,1
ACCT:D001C:,ACCT D001C,Lawrence Osborne,,,25,,,18,,,3,,,0,,0,0,Spring,2019,1
ACCT:D001C:,ACCT D001C,Lawrence Osborne,,,14,,,25,,,5,,,0,,4,2,Spring,2019,1
ACCT:D001C:,ACCT D001C,Mary Breen,,,11,,,7,,,2,,,2,,3,1,Spring,2019,1
ACCT:D001C:,ACCT D001C,Mary Breen,,,12,,,8,,,5,,,0,,5,2,Spring,2019,1
ACCT:D001C:,ACCT D001C,Walter Gough,,,28,,,7,,,5,,,3,,0,3,Spring,2019,1
ACCT:D001C:,ACCT D001C,Jeffrey West,,,11,,,10,,,8,,,0,,2,2,Spring,2019,1
ACCT:D001C:,ACCT D001C,Christopher Kwak,,,9,,,7,,,6,,,4,,8,1,Spring,2019,1
ACCT:D001C:,ACCT D001C,Danny Salah,,,14,,,23,,,8,,,0,,1,0,Spring,2019,1
ACCT:D01AH:,ACCT D01AH,Mary Breen,,,0,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D01AH:,ACCT D01AH,Mary Breen,,,0,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D01BH:,ACCT D01BH,Kevin Mello,,,0,,,1,,,0,,,0,,0,0,Spring,2019,1
ACCT:D01BH:,ACCT D01BH,Kevin Mello,,,1,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D01CH:,ACCT D01CH,Mary Breen,,,1,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D01CH:,ACCT D01CH,Mary Breen,,,1,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D051A:,ACCT D051A,Kevin Mello,,,10,,,7,,,3,,,0,,0,4,Spring,2019,1
ACCT:D051B:,ACCT D051B,Kevin Mello,,,13,,,6,,,6,,,0,,0,2,Spring,2019,1
ACCT:D052:,ACCT D052,Lawrence Osborne,,,7,,,7,,,1,,,0,,4,1,Spring,2019,1
ACCT:D058:,ACCT D058,Christopher Kwak,,,21,,,5,,,2,,,0,,1,2,Spring,2019,1
ACCT:D064:,ACCT D064,Lydia Botsford,,,17,,,4,,,8,,,0,,4,2,Spring,2019,1
ACCT:D067:,ACCT D067,Lydia Botsford,,,11,,,9,,,3,,,0,,2,5,Spring,2019,1
ACCT:D068:,ACCT D068,Lydia Botsford,,,2,,,4,,,0,,,2,,1,3,Spring,2019,1
ACCT:D074:,ACCT D074,Alexis James,,,35,,,0,,,0,,,0,,0,0,Spring,2019,1
ACCT:D074:,ACCT D074,Alexis James,,,24,,,0,,,0,,,0,,2,2,Spring,2019,1
ACCT:D87AI:,ACCT D87AI,Laurienne Hammond,,,17,,,5,,,1,,,0,,3,3,Spring,2019,1
ADMJ:D001:,ADMJ D001,James Suits,,,6,,,13,,,12,,,2,,7,4,Spring,2019,1
ADMJ:D003:,ADMJ D003,Griffin Bonini,,,3,,,14,,,5,,,0,,0,0,Spring,2019,1
ADMJ:D006:,ADMJ D006,James Suits,,,8,,,16,,,5,,,2,,3,6,Spring,2019,1
ADMJ:D029:,ADMJ D029,Meghan Kensler,,,13,,,9,,,2,,,0,,2,1,Spring,2019,1
ADMJ:D054:,ADMJ D054,DuJuan Green,,,27,,,0,,,0,,,2,,0,3,Spring,2019,1
ADMJ:D056:,ADMJ D056,James Suits,,,5,,,5,,,1,,,1,,1,6,Spring,2019,1
ADMJ:D064:,ADMJ D064,James Suits,,,0,,,0,,,0,,,0,,0,0,Spring,2019,1
ADMJ:D064X:,ADMJ D064X,James Suits,,,0,,,0,,,0,,,0,,0,0,Spring,2019,1
ADMJ:D064Y:,ADMJ D064Y,James Suits,,,0,,,0,,,0,,,0,,0,0,Spring,2019,1
