SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
EWRT:D002.:66Z,"CRIT READ, WRIT & THINK",Rebecca Board Liljenstolpe,,0,10,1,2,2,0,0,1,0,0,0,0,1,3,Summer,2021,0
EWRT:D002.:67Z,"CRIT READ, WRIT & THINK",Luis Limcolioc,,0,3,3,2,1,2,2,1,0,0,0,0,2,4,Summer,2021,0
EWRT:D002.:68Z,"CRIT READ, WRIT & THINK",Luis Limcolioc,,2,6,4,1,3,3,1,1,0,0,0,0,1,2,Summer,2021,0
EWRT:D002.:70Z,"CRIT READ, WRIT & THINK",Alexandria Giardino,,6,11,1,0,0,0,0,0,0,0,0,0,1,1,Summer,2021,0
EWRT:D002.:71Z,"CRIT READ, WRIT & THINK",Raymond Brennan,,0,2,0,0,0,2,1,1,0,0,0,0,2,2,Summer,2021,0
EWRT:D002.:72Z,"CRIT READ, WRIT & THINK",Yeganeh Modirzadeh,,0,11,0,1,0,3,2,1,0,0,0,0,1,4,Summer,2021,0
EWRT:D002.:73Z,"CRIT READ, WRIT & THINK",Adam Sandel,,1,7,7,3,1,2,1,1,0,0,0,0,0,6,Summer,2021,0
EWRT:D002.:74Z,"CRIT READ, WRIT & THINK",Adam Sandel,,0,5,3,4,3,1,1,3,0,0,0,0,2,3,Summer,2021,0
EWRT:D030.:61Z,INTRO CREATIVE WRITING,Alexandria Giardino,,24,2,0,0,0,0,0,0,0,0,0,0,1,0,Summer,2021,0
F/TV:D001.:50Z,INTRO TO CINEMATIC ARTS,Susan Tavernetti,,0,22,0,0,12,0,0,5,0,0,2,0,1,6,Summer,2021,0
F/TV:D006A:50Z,SCRNWRTNG FUND FILM/VIDEO I,Jennifer Van Sijll,,6,6,2,4,1,0,0,2,0,0,0,0,1,1,Summer,2021,0
F/TV:D020.:01Z,BEGINNING VIDEO PRODUCTION,Dennis Irwin,,1,0,21,3,0,0,0,1,0,0,0,0,0,0,Summer,2021,0
F/TV:D071G:01Z,INTRO TO 3D COMP ANIM: MODLNG,Genevieve Freckelton,,0,7,9,0,1,1,0,0,0,0,0,0,1,1,Summer,2021,0
F/TV:D071H:01Z,INTRO TO 3D COMP ANI: CHAR MOT,Genevieve Freckelton,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
GEO:D001.:50Z,PHYSICAL GEOGRAPHY,Sohini Dutt,,4,6,13,7,6,4,1,0,0,0,0,0,0,0,Summer,2021,0
GEO:D001.:51Z,PHYSICAL GEOGRAPHY,Kerry Rohrmeier,,9,12,4,5,2,3,1,2,0,0,0,0,1,4,Summer,2021,0
GEO:D010.:50Z,WORLD REGIONAL GEOGRAPHY,Sohini Dutt,,3,11,6,1,4,4,1,0,0,0,0,0,2,1,Summer,2021,0
GEO:D010.:51Z,WORLD REGIONAL GEOGRAPHY,Eileen Pena,,0,38,5,0,0,1,0,0,0,0,0,0,0,2,Summer,2021,0
GEO:D010.:52Z,WORLD REGIONAL GEOGRAPHY,Eileen Pena,,0,30,4,0,0,0,0,1,0,0,0,0,1,0,Summer,2021,0
GEOL:D010.:55Z,INTRODUCTORY GEOLOGY,Christopher Dileonardo,,0,0,2,1,6,1,1,3,0,0,1,1,2,5,Summer,2021,0
GEOL:D010.:57Z,INTRODUCTORY GEOLOGY,Christopher Dileonardo,,0,3,1,1,7,1,1,5,0,0,0,0,2,5,Summer,2021,0
GEOL:D020.:61Z,GENERAL OCEANOGRAPHY,Bridget James,,0,23,0,2,3,2,1,1,0,0,0,0,4,0,Summer,2021,0
HIST:D003C:61Z,WORLD HIST FROM 1750CE-PRESENT,George Edgar,,0,25,0,1,4,0,0,1,0,0,0,0,0,7,Summer,2021,0
HIST:D006A:50Z,HIST OF WEST CIV:PREHIST-750CE,Mylinh Pham,,18,4,0,1,3,1,0,1,0,0,0,0,1,1,Summer,2021,0
HIST:D006C:50Z,HIST OF WEST CIV:1750 CE -PRES,Ben Kline,,0,23,0,0,9,0,0,2,0,0,2,0,3,2,Summer,2021,0
HIST:D017A:50Z,HIST U.S. TO ERLY NATNL ERA,Raeann Ramsey,,0,7,14,2,5,0,0,0,0,0,0,0,0,7,Summer,2021,0
HIST:D017A:61Z,HIST U.S. TO ERLY NATNL ERA,Carlos Mujal,,0,19,0,0,8,0,0,3,0,0,1,0,3,2,Summer,2021,0
HIST:D017B:50Z,HISTORY U.S. 1800-1900,Gregory Knittel,,5,35,0,1,2,0,0,0,0,0,0,0,0,0,Summer,2021,0
HIST:D017B:61Z,HISTORY U.S. 1800-1900,David Howard-Pitney,,0,9,7,4,4,3,3,3,0,1,1,0,3,5,Summer,2021,0
HIST:D017C:50Z,HIST U.S. 1900- PRESENT,Gregory Knittel,,10,33,0,0,3,0,0,0,0,0,0,0,0,0,Summer,2021,0
HIST:D017C:51Z,HIST U.S. 1900- PRESENT,Mylinh Pham,,31,5,1,0,2,0,0,0,0,0,1,0,0,2,Summer,2021,0
HIST:D017C:61Z,HIST U.S. 1900- PRESENT,Carlos Mujal,,0,20,0,0,9,0,0,5,0,0,3,0,1,1,Summer,2021,0
HLTH:D021.:50Z,CONTEMP HLTH CONCERNS,Barbara Liechty,,17,8,0,2,0,1,0,0,0,0,0,0,2,1,Summer,2021,0
HLTH:D021.:51Z,CONTEMP HLTH CONCERNS,Barbara Liechty,,14,3,1,2,2,1,0,2,0,0,0,0,1,1,Summer,2021,0
HTEC:D050.:01Z,INTRO HEALTH TECHNOLOGIES,Sumedha Sherlekar,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Summer,2021,0
HTEC:D060A:01Z,BASIC MEDI TERMINOLOGY,Maureen Miramontes,,2,23,0,0,11,0,0,6,0,0,0,0,4,1,Summer,2021,0
HTEC:D068.:1JF,MEDICL RECEPT EXTRNSHP,Maureen Miramontes,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D095A:1JF,MEDICAL ASSISTING EXTERNSHIP,Maureen Miramontes,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D095B:1JF,PHLEBOTOMY TECH I EXTERNSHIP,Maureen Miramontes,,0,13,0,0,6,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096A:1JF,MEDICAL ASSISTING EXTERNSHIP,Maureen Miramontes,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096C:1JF,MED FILE CLERK EXTERNSHIP,Maureen Miramontes,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096E:1JF,BUS OFFICE CLERK EXTERNSHIP,Maureen Miramontes,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096F:1JF,INSURANCE AND CODING EXTERN,Maureen Miramontes,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096G:1JF,MED TRANSCRIPTION EXTERNSHIP,Maureen Miramontes,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D096H:1JF,EKG EXTERNSHIP,Maureen Miramontes,,0,2,0,0,1,0,0,0,0,0,0,0,0,1,Summer,2021,0
HTEC:D183.:1JF,CLINIC MICROBIOLOGY PRACTICUM,Deborah Wagner,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D184.:1JF,CLINIC IMMUNOLOGY/IMMUNHEMA PR,Deborah Wagner,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HTEC:D185.:1JF,CLINIC CHEM PRACTICUM,Deborah Wagner,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
HUMA:D010.:61Z,HUMAN SEXUALITY,Kevin Glapion,,14,21,0,2,1,0,0,2,0,0,0,0,2,1,Summer,2021,0
HUMA:D010.:65Z,HUMAN SEXUALITY,Herminio Hernando,,0,39,0,0,1,0,0,0,0,0,1,0,3,5,Summer,2021,0
HUMA:D020.:61Z,LIFE SKLS/HIGHR EDUC,Melinda Hughes,,0,17,0,2,0,0,0,6,0,0,0,0,6,1,Summer,2021,0
HUMI:D001.:01Z,CREATIVE MINDS,Salamander Breiter,,52,11,1,0,3,3,0,5,0,0,0,0,2,4,Summer,2021,0
HUMI:D001.:50Z,CREATIVE MINDS,Alysia Rueda,,13,20,0,0,0,0,0,0,0,0,1,0,1,1,Summer,2021,0
HUMI:D001.:51Z,CREATIVE MINDS,Alysia Rueda,,7,18,0,2,1,0,0,0,0,0,0,1,4,2,Summer,2021,0
HUMI:D001.:52Z,CREATIVE MINDS,Barbara Hoffman,,0,20,3,7,1,2,2,2,0,0,0,0,0,0,Summer,2021,0
HUMI:D001.:53Z,CREATIVE MINDS,Apryl Berney,,8,9,0,1,1,0,0,1,0,0,0,0,5,2,Summer,2021,0
HUMI:D006.:50Z,POP CULTURE,Raeann Ramsey,,0,3,6,3,5,0,0,1,0,0,0,0,0,7,Summer,2021,0
HUMI:D007.:61Z,THE ARTS AND THE HUMAN SPIRIT,Lori Clinchard,,8,9,2,2,2,0,0,2,0,0,3,0,0,1,Summer,2021,0
HUMI:D009.:61Z,INTRO TO COMPARATIVE RELIGION,Lori Clinchard,,12,14,0,0,0,0,0,0,0,0,0,0,0,3,Summer,2021,0
HUMI:D015.:61Z,DISCUSSION ON THE ARTS,Barbara Hoffman,,0,10,3,3,5,1,1,0,0,0,0,0,1,2,Summer,2021,0
HUMI:D016.:61Z,"ARTS, IDEAS & VALUES",Leslie Berry,,0,23,0,0,2,0,0,2,0,0,0,0,2,2,Summer,2021,0
ICS:D004.:61Z,"RACE, ETHNICITY & INEQUALITY",Felipe Ponce,,16,7,2,1,2,2,0,2,0,0,0,0,0,5,Summer,2021,0
ICS:D005.:61Z,HIST OF ART/MULTICULTRL,Nancy Olsen,,1,4,1,0,2,0,2,0,0,0,0,0,3,3,Summer,2021,0
ICS:D005.:62Z,HIST OF ART/MULTICULTRL,Nancy Olsen,,0,2,1,0,0,0,0,0,0,0,0,0,3,1,Summer,2021,0
ICS:D010.:61Z,INTRO AFRIC/AMER STDS,Julie Keiffer-Lewis,,10,5,1,1,1,0,1,1,0,0,0,0,0,1,Summer,2021,0
ICS:D019.:1EZ,"TRANSFORM REL NATURE,COMM,POWR",Angelica Esquivel Moreno,,0,30,0,0,0,0,0,1,0,0,0,0,0,1,Summer,2021,0
ICS:D029.:61Z,CULT PLURALISM/AMER LAW & JUST,Meghan Kensler,,0,6,0,0,3,0,0,0,0,0,0,0,2,0,Summer,2021,0
ICS:D030.:61Z,INTRO CHICANX/LATINX STUDIES,Angelina Loyola,,24,2,0,2,2,0,2,2,0,0,0,0,7,2,Summer,2021,0
ICS:D033.:61Z,THE CHICANX/LATINX AND THE ART,Felipe Ponce,,5,4,5,1,2,2,2,1,0,0,0,1,0,2,Summer,2021,0
ICS:D080X:65R,COMM BASED LRNG ICS - INTRAPRS,Angelica Esquivel Moreno,,0,22,0,0,0,0,0,0,0,0,0,0,2,0,Summer,2021,0
JAPN:D001.:40Z,ELEM JAPANESE (1ST QTR),Min-Jin Kuo,,3,3,7,3,3,3,0,0,0,0,0,0,3,1,Summer,2021,0
JOUR:D002.:61Z,MEDIA AND IMPACT ON SOCIETY,Farideh Dada,,6,8,1,0,2,0,0,2,0,0,1,0,3,1,Summer,2021,0
JOUR:D002.:65Z,MEDIA AND IMPACT ON SOCIETY,Gail McElroy,,2,20,0,1,2,0,0,2,0,0,0,0,0,1,Summer,2021,0
KNES:D001B:1,BEGINNING SWIMMING,Mary Donahue,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
KNES:D001C:1,INTERMEDIATE SWIMMING,Mary Donahue,,2,0,0,2,0,0,0,0,0,1,0,0,0,1,Summer,2021,0
KNES:D001D:1,ADVANCED SWIMMING,Mary Donahue,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,Summer,2021,0
KNES:D002A:1,AEROBIC SWIMMING,Mary Donahue,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Summer,2021,0
